user_id,age,gender,city,occupation,overall_satisfaction,nps_score,red_flag_score_rating,ease_of_use,would_pay_premium,preferred_price_thb,top_feature_request,days_active,matches_made,red_flag_scans_used
U001,24,F,Bangkok,Student,4,8,5,4,Yes,99,chat_analyzer,7,3,12
U002,29,M,Bangkok,Engineer,3,6,4,3,No,0,custom_red_flags,5,1,4
U003,26,F,Bangkok,Marketing,5,10,5,5,Yes,199,chat_analyzer,14,8,28
U004,31,M,Chiang Mai,Designer,4,7,4,4,Yes,149,community_feed,10,4,15
U005,23,F,Bangkok,Student,5,9,5,5,Yes,79,chat_analyzer,12,6,22
U006,34,F,Bangkok,Lawyer,4,8,5,4,Yes,299,privacy_controls,8,2,9
U007,27,M,Bangkok,Sales,3,5,3,3,No,0,better_matching,4,2,5
U008,25,F,Khon Kaen,Student,4,7,4,4,Yes,79,chat_analyzer,9,3,11
U009,30,F,Bangkok,HR,5,10,5,5,Yes,249,chat_analyzer,14,9,31
U010,28,M,Bangkok,Accountant,3,6,4,3,Yes,99,educational_content,6,2,7
U011,22,F,Bangkok,Student,5,9,5,5,Yes,79,gamification,13,5,19
U012,33,M,Bangkok,PM,4,8,4,4,Yes,199,custom_red_flags,11,4,16
U013,26,F,Chiang Mai,Teacher,4,7,4,4,Yes,149,chat_analyzer,8,3,10
U014,29,F,Bangkok,Nurse,5,10,5,5,Yes,199,chat_analyzer,14,7,25
U015,32,M,Bangkok,Startup,3,4,3,2,No,0,faster_matching,3,1,3
U016,24,F,Bangkok,Student,4,8,5,4,Yes,99,community_feed,10,4,14
U017,27,F,Bangkok,UX Designer,5,9,5,5,Yes,249,chat_analyzer,13,6,21
U018,31,M,Nakhon Ratchasima,Teacher,3,6,4,3,Yes,99,educational_content,6,2,8
U019,25,F,Bangkok,Finance,4,7,4,4,Yes,149,chat_analyzer,9,4,13
U020,28,F,Bangkok,Content Creator,5,10,5,5,Yes,199,chat_analyzer,14,8,29
U021,23,M,Bangkok,Student,3,5,3,3,No,0,better_photos,4,1,4
U022,30,F,Bangkok,Doctor,4,8,5,4,Yes,299,privacy_controls,8,3,12
U023,26,M,Chiang Mai,Freelance,3,6,3,4,Yes,99,custom_red_flags,5,2,6
U024,29,F,Bangkok,Teacher,5,9,5,5,Yes,149,chat_analyzer,12,5,20
U025,35,F,Bangkok,Executive,4,8,5,4,Yes,399,privacy_controls,7,2,10
